0,Coolant pressure 1,0,10000,1,Kpa,16
1,Coolant pressure 2,0,10000,1,Kpa,16
2,Fuel pressure 1,0,10000,1,Kpa,16
3,Fuel pressure 2,0,10000,1,Kpa,16
4,Turbo pressure 1,0,10000,1,Kpa,16
5,Turbo pressure 2,0,10000,1,Kpa,16
6,Inlet manifold temperature 1,-50,10000,1,Degrees C,16 S
7,Inlet manifold temperature 2,-50,10000,1,Degrees C,16 S
8,Exhaust temperature 1,-50,10000,1,Degrees C,16 S
9,Exhaust temperature 2,-50,10000,1,Degrees C,16 S
10-11,Fuel consumption,0,10000,0.01,L/hour,32
12,Water in Fuel,,,,,16
13,CAN BIT data,,,,,16
14,Atmospheric pressure,0,10000,1,Kpa,16
15,Fuel temperature,-50,10000,1,Degrees C,16 S
16-17,Fuel level (Units) <8xxx phase 2>,0,"999,999,999",1,Litre/Imp Gal/US Gal,32
18,Selected units for fuel level <8xxx phase 2>,0,2,,,16
19-47,Reserved,,,,,
48,Auxiliary sender 1 category,0,3,,,16
49,Auxiliary sender 1 value,See table below,,,,16 S
50,Auxiliary sender 2 category,0,3,,,16
51,Auxiliary sender 2 value,See table below,,,,16 S
52,Auxiliary sender 3 category,0,3,,,16
53,Auxiliary sender 3 value,See table below,,,,16 S
54,Auxiliary sender 4 category,0,3,,,16
55,Auxiliary sender 4 value,See table below,,,,16 S
56-63,Reserved,,,,,
64-65,Exhaust after treatment fuel used,0,2105,1,Litres,32 U
66,After treatment temperature T1,0,1734,1,Degrees  C,16 S
67,After treatment temperature T3,0,1734,1,Degrees  C,16 S
68-69,Engine reference torque ,0,6425,1,Nm,32U
70-71,Engine percentage torque,-125,125,1,%,32S
72-73,Engine demand torque,-125,125,1,%,32S
74,Percentage load at speed,0,250,1,%,16 U
75,Accelerator position,0,100,1,%,16 U
76,Nominal friction percentage torque,-125,125,1,%,16 S
77,Oil level,0,100,1,%,16 U
78,Crank case pressure,-25000,25000,0.01,kPa,16 S
79,Coolant level,0,100,1,%,16 U
80,Injector Rail 1 pressure,0,2509,0.01,Mpa,16 U
