offset,name,min,max,scale,unit,sign
0,Oil pressure,0,10000,1,Kpa,16
1,Coolant temperature,-50,200,1,Degrees C,16 S
2,Oil temperature,-50,200,1,Degrees C,16 S
3,Fuel level,0,130,1,%,16
4,Charge alternator voltage,0,40,0.1,V,16
5,Engine Battery voltage,0,40,0.1,V,16
6,Engine speed,0,6000,1,RPM,16
7,Generator frequency,0,70,0.1,Hz,16
9-Aug,Generator L1-N voltage,0,"18,000",0.1,V,32
11-Oct,Generator L2-N voltage,0,"18,000",0.1,V,32
13-Dec,Generator L3-N voltage,0,"18,000",0.1,V,32
14-15,Generator L1-L2 voltage,0,"30,000",0.1,V,32
16-17,Generator L2-L3 voltage,0,"30,000",0.1,V,32
18-19,Generator L3-L1 voltage,0,"30,000",0.1,V,32
20-21,Generator L1 current,0,"99,999.90",0.1,A,32
22-23,Generator L2 current,0,"99,999.90",0.1,A,32
24-25,Generator L3 current,0,"99,999.90",0.1,A,32
26-27,Generator earth current,0,"99,999.90",0.1,A,32
28-29,Generator L1 watts,"-99,999,999","99,999,999",1,W,32 S
30-31,Generator L2 watts,"-99,999,999","99,999,999",1,W,32 S
32-33,Generator L3 watts,"-99,999,999","99,999,999",1,W,32 S
34,Generator current lag/lead,-180,180,1,degrees,16 S
35,Mains frequency,0,70,0.1,Hz,16
36-37,Mains L1-N voltage,0,"18,000",0.1,V,32
38-39,Mains L2-N voltage,0,"18,000",0.1,V,32
40-41,Mains L3-N voltage,0,"18,000",0.1,V,32
42-43,Mains L1-L2 voltage,0,"30,000",0.1,V,32
44-45,Mains L2-L3 voltage,0,"30,000",0.1,V,32
46-47,Mains L3-L1 voltage,0,"30,000",0.1,V,32
48,Mains voltage phase lag/lead,-180,180,1,degrees,16 S
49,Generator phase rotation,0,3,,,16
50,Mains phase rotation,0,3,,,16
51,Mains current lag/lead,-180,180,1,degrees,16 S
52-53,Mains L1 current,0,"99,999.90",0.1,A,32
54-55,Mains L2 current,0,"99,999.90",0.1,A,32
56-57,Mains L3 current,0,"99,999.90",0.1,A,32
58-59,Mains earth current,0,"99,999.90",0.1,A,32
60-61,Mains L1 watts,"-99,999,999","99,999,999",1,W,32 S
62-63,Mains L2 watts,"-99,999,999","99,999,999",1,W,32 S
64-65,Mains L3 watts,"-99,999,999","99,999,999",1,W,32 S
66,Bus current lag/lead,-180,180,1,degrees,16 S
67,Bus frequency,0,70,0.1,Hz,16
68-69,Bus L1-N voltage,0,"18,000",0.1,V,32
70-71,Bus L2-N voltage,0,"18,000",0.1,V,32
